Umur,Jenis_Kelamin,Penghasilan,Pendidikan,Frekuensi_Liburan,Preferensi_Aktivitas,Anggaran_Liburan,Lokasi,Jarak_ke_Gunung,Jarak_ke_Pantai,Musim_Favorit,Hewan_Peliharaan,Sensitivitas_Lingkungan,Preferensi_Liburan
31,Laki-Laki,23721,Doktor,1,Mendaki Gunung,3276,Pinggiran Kota,93,292,Dingin,0,1,Gunung
34,Non-Biner,87005,Doktor,9,Berjemur,4675,Pinggiran Kota,261,262,Panas,0,1,Pantai
53,Non-Biner,26436,Sarjana,5,Renang,1065,Perkotaan,13,221,Dingin,1,1,Pantai
67,Non-Biner,118018,Doktor,7,Renang,4280,Pedesaan,250,170,Dingin,1,1,Pantai
57,Laki-Laki,30043,Doktor,9,Renang,1209,Pinggiran Kota,279,73,Semi,0,1,Pantai
21,Perempuan,33914,Sarjana,6,Renang,4581,Perkotaan,278,219,Gugur,1,1,Pantai
19,Non-Biner,95101,SMA/Setingkat,0,Renang,1672,Pedesaan,98,167,Panas,1,0,Pantai
23,Non-Biner,53090,SMA/Setingkat,7,Mendaki Gunung,1963,Pedesaan,20,105,Dingin,0,0,Gunung
59,Laki-Laki,105171,Sarjana,6,Ski,1737,Pedesaan,105,164,Semi,1,0,Gunung
21,Laki-Laki,73615,Sarjana,1,Renang,2766,Perkotaan,195,171,Panas,1,1,Pantai
46,Non-Biner,46301,Magister,9,Mendaki Gunung,2288,Pinggiran Kota,277,207,Semi,1,1,Pantai
35,Non-Biner,116651,Doktor,5,Ski,826,Perkotaan,26,66,Gugur,0,0,Gunung
43,Laki-Laki,45329,Sarjana,6,Ski,3518,Perkotaan,258,76,Panas,1,1,Pantai
61,Laki-Laki,110652,Doktor,5,Mendaki Gunung,2480,Pinggiran Kota,79,180,Dingin,1,1,Gunung
51,Laki-Laki,26429,Sarjana,0,Mendaki Gunung,2704,Pedesaan,283,216,Gugur,1,0,Pantai
27,Laki-Laki,107701,Doktor,8,Ski,1759,Pinggiran Kota,38,132,Panas,0,0,Gunung
53,Perempuan,50032,SMA/Setingkat,2,Mendaki Gunung,1939,Pinggiran Kota,77,69,Semi,1,1,Pantai
31,Perempuan,73556,SMA/Setingkat,4,Ski,3985,Pinggiran Kota,242,90,Semi,0,0,Pantai
48,Non-Biner,46842,Sarjana,7,Berjemur,3205,Pedesaan,117,105,Semi,0,1,Pantai
65,Perempuan,22837,Doktor,1,Renang,4769,Perkotaan,136,99,Dingin,0,1,Pantai
32,Laki-Laki,106832,Sarjana,3,Renang,2362,Perkotaan,298,258,Gugur,0,0,Pantai
25,Non-Biner,27088,Doktor,4,Mendaki Gunung,1396,Perkotaan,192,151,Panas,1,0,Pantai
31,Laki-Laki,28582,Sarjana,8,Ski,4858,Pedesaan,106,70,Gugur,1,0,Pantai
40,Perempuan,71245,Sarjana,1,Ski,4552,Perkotaan,261,205,Semi,1,0,Pantai
57,Laki-Laki,75306,Magister,5,Mendaki Gunung,1813,Pedesaan,109,210,Semi,1,1,Gunung
38,Non-Biner,22063,Magister,6,Renang,3175,Perkotaan,215,182,Dingin,1,0,Pantai
33,Perempuan,27349,Magister,9,Renang,3477,Pedesaan,68,96,Panas,0,0,Pantai
62,Non-Biner,111832,Magister,1,Berjemur,2519,Perkotaan,54,115,Gugur,1,0,Pantai
35,Perempuan,110659,Magister,9,Renang,780,Perkotaan,61,194,Dingin,0,0,Pantai
64,Laki-Laki,53842,Magister,9,Berjemur,3358,Perkotaan,240,251,Panas,0,1,Pantai
41,Non-Biner,89781,Doktor,3,Berjemur,634,Pedesaan,20,162,Panas,1,1,Pantai
43,Perempuan,119815,Magister,3,Mendaki Gunung,2646,Pinggiran Kota,244,235,Gugur,1,0,Pantai
42,Perempuan,98244,SMA/Setingkat,5,Renang,3467,Pedesaan,254,96,Panas,1,0,Pantai
62,Perempuan,62242,Sarjana,1,Mendaki Gunung,2180,Perkotaan,7,114,Dingin,0,0,Gunung
58,Perempuan,60226,SMA/Setingkat,8,Mendaki Gunung,1539,Pedesaan,284,201,Semi,0,0,Pantai
46,Laki-Laki,86160,Magister,4,Mendaki Gunung,1046,Perkotaan,232,281,Panas,0,0,Gunung
32,Laki-Laki,42309,Doktor,4,Ski,3959,Pedesaan,290,179,Panas,0,1,Pantai
62,Perempuan,43913,Sarjana,6,Berjemur,2341,Pedesaan,185,102,Gugur,0,1,Pantai
18,Laki-Laki,68694,Magister,5,Ski,2193,Pedesaan,171,4,Panas,0,0,Pantai
42,Laki-Laki,26568,Sarjana,9,Mendaki Gunung,2748,Pedesaan,91,59,Dingin,0,1,Pantai
24,Perempuan,40183,Sarjana,3,Renang,1695,Perkotaan,283,187,Semi,1,0,Pantai
26,Laki-Laki,33173,SMA/Setingkat,5,Berjemur,3653,Pinggiran Kota,190,48,Panas,0,0,Pantai
41,Non-Biner,110273,Doktor,1,Berjemur,3502,Pedesaan,271,284,Semi,1,0,Pantai
18,Non-Biner,101890,Sarjana,8,Renang,3135,Pedesaan,123,254,Semi,1,0,Pantai
61,Laki-Laki,36906,Doktor,3,Berjemur,4740,Perkotaan,173,21,Semi,0,0,Pantai
25,Perempuan,45806,SMA/Setingkat,6,Berjemur,4595,Pinggiran Kota,129,171,Gugur,0,1,Pantai
41,Non-Biner,30509,Magister,8,Renang,1584,Pedesaan,33,157,Dingin,1,1,Pantai
28,Laki-Laki,23052,SMA/Setingkat,6,Mendaki Gunung,1975,Perkotaan,1,232,Gugur,0,1,Gunung
68,Laki-Laki,60468,Doktor,2,Ski,3775,Pedesaan,167,130,Panas,1,1,Pantai
34,Perempuan,62395,Magister,1,Ski,4945,Pinggiran Kota,17,69,Semi,0,0,Gunung
25,Perempuan,60554,Doktor,5,Berjemur,610,Pinggiran Kota,56,52,Gugur,1,1,Pantai
52,Laki-Laki,88709,Sarjana,2,Ski,1547,Perkotaan,133,270,Semi,1,1,Gunung
52,Perempuan,52597,Sarjana,5,Berjemur,892,Perkotaan,45,274,Gugur,1,1,Pantai
50,Non-Biner,23068,Doktor,6,Renang,1458,Perkotaan,80,57,Gugur,0,1,Pantai
22,Non-Biner,63579,Sarjana,3,Mendaki Gunung,4052,Pedesaan,150,84,Panas,0,0,Pantai
59,Laki-Laki,20545,SMA/Setingkat,4,Berjemur,4831,Perkotaan,19,198,Gugur,1,0,Pantai
56,Laki-Laki,109152,Doktor,0,Mendaki Gunung,2217,Pinggiran Kota,170,17,Semi,1,0,Pantai
58,Perempuan,31478,Magister,0,Berjemur,1554,Pinggiran Kota,240,90,Gugur,0,0,Pantai
45,Non-Biner,89599,Doktor,7,Renang,3119,Pinggiran Kota,286,200,Dingin,0,0,Pantai
24,Perempuan,77091,Magister,5,Mendaki Gunung,1804,Perkotaan,68,79,Dingin,0,1,Gunung
26,Laki-Laki,42888,Doktor,0,Ski,4518,Pinggiran Kota,156,249,Dingin,1,1,Gunung
25,Laki-Laki,71946,Doktor,4,Mendaki Gunung,2511,Pinggiran Kota,76,25,Gugur,1,0,Pantai
29,Laki-Laki,60005,Doktor,4,Berjemur,1015,Pedesaan,164,147,Dingin,1,0,Pantai
51,Laki-Laki,116079,Sarjana,7,Berjemur,3363,Pedesaan,69,57,Panas,0,0,Pantai
50,Laki-Laki,61993,Doktor,0,Renang,4317,Perkotaan,250,50,Gugur,1,0,Pantai
65,Laki-Laki,85314,Magister,0,Renang,1186,Perkotaan,213,108,Semi,0,0,Pantai
40,Perempuan,24311,Doktor,0,Renang,1898,Perkotaan,1,151,Gugur,0,0,Pantai
41,Perempuan,100062,Sarjana,6,Berjemur,1096,Pedesaan,249,124,Semi,0,0,Pantai
54,Perempuan,109696,SMA/Setingkat,3,Ski,1633,Pedesaan,222,280,Gugur,0,0,Gunung
52,Non-Biner,67322,Sarjana,6,Mendaki Gunung,3563,Pinggiran Kota,212,73,Gugur,1,1,Pantai
61,Perempuan,119736,Sarjana,9,Renang,3525,Pedesaan,259,198,Dingin,0,1,Pantai
57,Laki-Laki,33692,Magister,4,Mendaki Gunung,523,Perkotaan,151,78,Panas,1,1,Pantai
39,Perempuan,54008,Doktor,6,Berjemur,2204,Pedesaan,52,231,Panas,0,1,Pantai
44,Perempuan,54591,SMA/Setingkat,4,Mendaki Gunung,690,Pinggiran Kota,15,27,Gugur,1,0,Gunung
52,Non-Biner,97929,SMA/Setingkat,3,Ski,4067,Perkotaan,159,72,Panas,0,1,Pantai
18,Laki-Laki,72377,SMA/Setingkat,6,Renang,3443,Pedesaan,20,60,Panas,1,1,Pantai
52,Non-Biner,96867,Sarjana,5,Mendaki Gunung,2133,Perkotaan,223,47,Dingin,0,1,Pantai
54,Non-Biner,39912,Magister,3,Renang,2779,Perkotaan,289,223,Panas,0,0,Pantai
64,Non-Biner,77242,SMA/Setingkat,0,Mendaki Gunung,2005,Pinggiran Kota,263,220,Dingin,0,1,Pantai
31,Perempuan,109800,Sarjana,6,Berjemur,2341,Pedesaan,8,216,Gugur,0,1,Pantai
20,Laki-Laki,111627,Sarjana,7,Mendaki Gunung,1137,Pedesaan,43,239,Semi,1,1,Gunung
18,Laki-Laki,82041,Magister,4,Berjemur,3688,Pinggiran Kota,161,265,Dingin,0,0,Pantai
22,Non-Biner,78378,Sarjana,9,Ski,2993,Perkotaan,270,215,Gugur,0,0,Pantai
43,Laki-Laki,79828,Doktor,8,Mendaki Gunung,1767,Pinggiran Kota,158,109,Semi,1,0,Pantai
31,Laki-Laki,46213,Sarjana,7,Ski,4271,Pedesaan,74,237,Dingin,0,0,Gunung
56,Non-Biner,80191,Magister,1,Ski,3153,Pedesaan,251,68,Dingin,1,1,Pantai
44,Perempuan,59610,Sarjana,6,Ski,3862,Pedesaan,287,197,Panas,0,1,Pantai
26,Non-Biner,98054,Sarjana,7,Mendaki Gunung,1925,Perkotaan,248,201,Dingin,1,0,Pantai
32,Non-Biner,67240,Sarjana,3,Ski,3909,Pinggiran Kota,266,104,Panas,0,0,Pantai
32,Perempuan,74794,SMA/Setingkat,0,Berjemur,1415,Perkotaan,26,1,Panas,0,0,Pantai
43,Perempuan,71600,Doktor,0,Ski,1120,Perkotaan,52,297,Gugur,1,0,Gunung
59,Perempuan,114047,SMA/Setingkat,4,Ski,1141,Pinggiran Kota,260,143,Panas,0,0,Pantai
30,Perempuan,55594,Sarjana,7,Mendaki Gunung,1825,Pedesaan,191,203,Panas,1,1,Gunung
68,Non-Biner,90200,Sarjana,3,Ski,1358,Pinggiran Kota,264,226,Gugur,0,1,Pantai
49,Perempuan,37365,Sarjana,0,Ski,3324,Perkotaan,5,230,Semi,1,1,Gunung
56,Laki-Laki,104017,Magister,2,Mendaki Gunung,1055,Pinggiran Kota,35,55,Dingin,0,1,Gunung
66,Non-Biner,44569,Doktor,2,Berjemur,4418,Perkotaan,133,7,Dingin,1,0,Pantai
69,Non-Biner,88432,SMA/Setingkat,8,Berjemur,4305,Pedesaan,266,10,Panas,1,1,Pantai
49,Perempuan,55892,Doktor,3,Mendaki Gunung,771,Pinggiran Kota,95,265,Dingin,1,0,Gunung
21,Perempuan,73848,Sarjana,3,Ski,951,Pedesaan,210,76,Semi,0,0,Pantai
47,Laki-Laki,111899,Magister,3,Mendaki Gunung,2126,Pinggiran Kota,55,258,Dingin,1,0,Gunung
54,Perempuan,110319,Doktor,4,Mendaki Gunung,858,Perkotaan,113,58,Semi,0,1,Pantai
40,Non-Biner,39168,Magister,6,Renang,2240,Pedesaan,10,237,Gugur,0,1,Pantai
56,Perempuan,41953,Doktor,3,Ski,1267,Pinggiran Kota,45,184,Semi,0,0,Gunung
62,Laki-Laki,57034,Sarjana,6,Berjemur,3044,Pinggiran Kota,25,276,Gugur,0,1,Pantai
32,Non-Biner,35142,SMA/Setingkat,4,Ski,2776,Pedesaan,275,285,Panas,0,1,Gunung
60,Non-Biner,74313,Magister,3,Mendaki Gunung,4741,Perkotaan,266,247,Panas,0,0,Pantai
46,Perempuan,61675,Doktor,7,Renang,757,Pedesaan,81,296,Dingin,1,1,Pantai
53,Laki-Laki,72202,Sarjana,7,Berjemur,4948,Pedesaan,52,180,Semi,0,1,Pantai
30,Laki-Laki,98753,Sarjana,8,Mendaki Gunung,2550,Perkotaan,43,144,Panas,1,0,Gunung
49,Perempuan,102509,SMA/Setingkat,3,Mendaki Gunung,1830,Perkotaan,85,111,Panas,1,1,Gunung
24,Non-Biner,55720,Doktor,3,Renang,2883,Pedesaan,260,53,Gugur,0,0,Pantai
68,Non-Biner,45978,SMA/Setingkat,6,Mendaki Gunung,3432,Pedesaan,234,62,Gugur,0,1,Pantai
39,Non-Biner,79101,Doktor,5,Renang,4475,Perkotaan,165,190,Panas,0,1,Pantai
45,Perempuan,44060,Sarjana,3,Ski,2747,Pedesaan,215,236,Panas,1,1,Gunung
19,Non-Biner,109995,Magister,1,Ski,3426,Perkotaan,143,100,Semi,0,0,Pantai
59,Non-Biner,22825,Doktor,1,Ski,1668,Pedesaan,235,92,Panas,1,0,Pantai
62,Perempuan,20215,SMA/Setingkat,3,Mendaki Gunung,3828,Pinggiran Kota,153,253,Panas,1,0,Gunung
23,Non-Biner,31937,Sarjana,5,Ski,1739,Pinggiran Kota,36,56,Dingin,0,0,Gunung
45,Perempuan,20587,SMA/Setingkat,5,Mendaki Gunung,3687,Pinggiran Kota,194,201,Dingin,1,0,Gunung
45,Laki-Laki,22585,Magister,9,Berjemur,3295,Pedesaan,285,141,Dingin,1,1,Pantai
61,Laki-Laki,87551,SMA/Setingkat,5,Berjemur,3538,Pinggiran Kota,201,237,Dingin,0,1,Pantai
61,Perempuan,82162,Magister,9,Renang,1726,Perkotaan,155,189,Dingin,0,0,Pantai
37,Perempuan,118231,Magister,0,Ski,2863,Pinggiran Kota,49,285,Gugur,0,1,Gunung
47,Perempuan,93527,Sarjana,4,Mendaki Gunung,1730,Pedesaan,84,274,Panas,0,1,Gunung
28,Non-Biner,39413,Sarjana,4,Ski,2091,Perkotaan,159,12,Dingin,1,1,Pantai
45,Non-Biner,90703,Magister,9,Mendaki Gunung,4073,Pinggiran Kota,23,56,Dingin,0,0,Gunung
42,Perempuan,22112,Sarjana,6,Ski,2131,Perkotaan,87,242,Panas,1,0,Gunung
56,Perempuan,83980,Magister,7,Berjemur,964,Pedesaan,44,66,Semi,1,0,Pantai
50,Non-Biner,47366,Sarjana,7,Renang,2881,Pedesaan,295,58,Panas,0,1,Pantai
18,Non-Biner,64532,Magister,8,Renang,1742,Pedesaan,6,168,Dingin,0,0,Pantai
44,Perempuan,109460,Magister,6,Renang,3363,Pinggiran Kota,196,244,Gugur,1,0,Pantai
69,Non-Biner,56587,Sarjana,7,Berjemur,2178,Perkotaan,193,110,Dingin,1,1,Pantai
30,Non-Biner,109854,Doktor,7,Mendaki Gunung,3066,Pedesaan,108,196,Semi,0,0,Gunung
58,Laki-Laki,95401,Sarjana,3,Renang,4482,Pedesaan,295,158,Semi,0,1,Pantai
20,Perempuan,105122,Sarjana,3,Mendaki Gunung,3667,Pinggiran Kota,161,278,Dingin,0,0,Gunung
56,Perempuan,94267,SMA/Setingkat,6,Renang,1295,Pedesaan,8,227,Semi,1,1,Pantai
23,Non-Biner,86900,Sarjana,1,Renang,2659,Pedesaan,6,167,Panas,1,0,Pantai
25,Laki-Laki,74794,Magister,9,Mendaki Gunung,1348,Pedesaan,190,134,Semi,0,0,Pantai
44,Perempuan,66295,Doktor,6,Berjemur,853,Pedesaan,246,283,Semi,1,1,Pantai
26,Perempuan,61995,Sarjana,8,Renang,741,Pinggiran Kota,37,149,Gugur,0,0,Pantai
54,Non-Biner,84518,Magister,5,Mendaki Gunung,1667,Pinggiran Kota,80,167,Panas,1,1,Gunung
50,Perempuan,25801,Sarjana,0,Berjemur,2323,Pinggiran Kota,123,38,Semi,1,0,Pantai
68,Non-Biner,39295,Magister,6,Mendaki Gunung,3463,Pinggiran Kota,265,287,Gugur,0,1,Gunung
59,Laki-Laki,86364,Magister,1,Berjemur,1839,Pinggiran Kota,115,145,Panas,1,1,Pantai
61,Laki-Laki,55225,Doktor,6,Renang,4179,Pinggiran Kota,260,74,Dingin,1,1,Pantai
41,Perempuan,63868,SMA/Setingkat,8,Ski,2479,Pedesaan,182,159,Panas,1,1,Pantai
32,Non-Biner,78202,Doktor,2,Berjemur,4208,Pinggiran Kota,220,92,Panas,1,0,Pantai
49,Laki-Laki,55507,Doktor,4,Renang,3271,Perkotaan,240,268,Semi,1,0,Pantai
49,Perempuan,67561,SMA/Setingkat,7,Renang,4218,Pinggiran Kota,206,182,Gugur,1,0,Pantai
41,Perempuan,102819,Magister,1,Mendaki Gunung,2078,Pinggiran Kota,148,19,Semi,1,0,Pantai
58,Perempuan,58037,Magister,8,Mendaki Gunung,4913,Perkotaan,104,157,Panas,0,0,Gunung
69,Non-Biner,46889,Magister,8,Ski,772,Pedesaan,277,26,Dingin,0,1,Pantai
66,Non-Biner,92579,Sarjana,5,Mendaki Gunung,3671,Pedesaan,64,53,Panas,0,0,Pantai
66,Laki-Laki,110758,Sarjana,2,Mendaki Gunung,797,Pinggiran Kota,84,261,Semi,1,0,Gunung
69,Non-Biner,75486,Sarjana,7,Berjemur,3417,Pinggiran Kota,203,7,Panas,0,0,Pantai
29,Non-Biner,41745,Doktor,5,Renang,3780,Pinggiran Kota,47,162,Gugur,1,1,Pantai
56,Perempuan,86754,Magister,3,Mendaki Gunung,1908,Pinggiran Kota,207,272,Gugur,0,0,Gunung
19,Perempuan,61047,Magister,0,Berjemur,1304,Pinggiran Kota,290,295,Gugur,1,1,Pantai
20,Laki-Laki,39822,Sarjana,8,Mendaki Gunung,1305,Pedesaan,83,253,Gugur,1,1,Gunung
66,Perempuan,99332,Doktor,7,Renang,1347,Perkotaan,98,243,Panas,1,1,Pantai
54,Perempuan,112061,Doktor,9,Renang,3810,Pedesaan,84,185,Semi,1,0,Pantai
66,Perempuan,69512,SMA/Setingkat,7,Renang,1734,Perkotaan,208,227,Dingin,1,1,Pantai
34,Non-Biner,69267,Doktor,1,Berjemur,2120,Pedesaan,243,18,Semi,1,0,Pantai
66,Perempuan,39887,SMA/Setingkat,2,Berjemur,4211,Pedesaan,111,68,Gugur,1,1,Pantai
19,Laki-Laki,51682,Doktor,3,Ski,3530,Pinggiran Kota,174,286,Dingin,0,0,Gunung
19,Laki-Laki,82926,SMA/Setingkat,1,Mendaki Gunung,4031,Pedesaan,68,216,Dingin,0,0,Gunung
45,Perempuan,69631,Doktor,1,Renang,2738,Perkotaan,44,261,Semi,0,1,Pantai
40,Perempuan,39879,SMA/Setingkat,7,Ski,3135,Pedesaan,224,262,Gugur,0,0,Gunung
54,Laki-Laki,50449,SMA/Setingkat,3,Renang,2329,Pedesaan,4,144,Dingin,1,1,Pantai
49,Non-Biner,101279,Doktor,4,Mendaki Gunung,4592,Pinggiran Kota,268,44,Semi,0,0,Pantai
50,Perempuan,41717,SMA/Setingkat,2,Berjemur,3557,Perkotaan,123,141,Semi,1,0,Pantai
18,Laki-Laki,45571,Doktor,0,Berjemur,4954,Pedesaan,60,116,Panas,0,0,Pantai
36,Non-Biner,40191,SMA/Setingkat,4,Berjemur,2617,Pedesaan,67,165,Semi,1,0,Pantai
19,Laki-Laki,40154,SMA/Setingkat,7,Berjemur,3367,Perkotaan,265,103,Dingin,0,0,Pantai
61,Non-Biner,68964,Sarjana,6,Ski,2775,Perkotaan,32,133,Dingin,1,0,Gunung
43,Laki-Laki,78489,Magister,0,Ski,4063,Pinggiran Kota,49,191,Dingin,1,0,Gunung
49,Laki-Laki,97736,Sarjana,2,Ski,4929,Pinggiran Kota,147,173,Dingin,1,1,Gunung
23,Non-Biner,83471,Magister,6,Ski,2400,Pinggiran Kota,122,178,Semi,1,0,Gunung
49,Perempuan,57571,Doktor,0,Berjemur,3142,Pedesaan,271,164,Gugur,1,0,Pantai
21,Laki-Laki,57807,Magister,9,Mendaki Gunung,1349,Pedesaan,10,266,Panas,0,1,Gunung
28,Perempuan,88284,Magister,0,Berjemur,4229,Perkotaan,147,124,Dingin,1,1,Pantai
34,Laki-Laki,96036,SMA/Setingkat,6,Mendaki Gunung,3099,Pedesaan,138,3,Semi,1,1,Pantai
55,Non-Biner,85542,Magister,7,Berjemur,2970,Pedesaan,79,45,Gugur,0,0,Pantai
41,Perempuan,71077,Doktor,4,Renang,2505,Pinggiran Kota,144,59,Panas,1,1,Pantai
22,Non-Biner,99794,Doktor,8,Berjemur,2543,Pinggiran Kota,97,143,Dingin,1,1,Pantai
69,Non-Biner,36336,Sarjana,7,Renang,2112,Pedesaan,215,269,Panas,0,0,Pantai
